pid,act,start,end,duration
128,home,960,1440,480
129,home,0,420,420
129,shop,420,600,180
129,home,600,645,45
129,leisure,645,810,165
129,home,810,1440,630
130,home,0,420,420
130,shop,420,510,90
130,leisure,510,1005,495
130,home,1005,1440,435
131,home,0,390,390
131,leisure,390,660,270
131,shop,660,750,90
131,home,750,1440,690
132,home,0,390,390
132,work,390,1110,720
132,leisure,1110,1140,30
132,home,1140,1440,300
133,home,0,420,420
133,shop,420,480,60
133,leisure,480,975,495
133,home,975,1440,465
134,home,0,375,375
134,leisure,375,495,120
134,shop,495,585,90
134,home,585,795,210
134,shop,795,960,165
134,home,960,1440,480
135,home,0,390,390
135,shop,390,450,60
135,leisure,450,1020,570
135,home,1020,1440,420
136,home,0,390,390
136,work,390,1035,645
136,home,1035,1440,405
137,home,0,390,390
137,shop,390,465,75
137,leisure,465,975,510
137,home,975,1440,465
138,home,0,375,375
138,leisure,375,630,255
138,shop,630,690,60
138,home,690,1440,750
139,home,0,405,405
139,shop,405,435,30
139,leisure,435,705,270
139,shop,705,780,75
139,home,780,1020,240
139,shop,1020,1035,15
139,home,1035,1440,405
140,home,0,405,405
140,shop,405,480,75
140,leisure,480,990,510
140,home,990,1440,450
141,home,0,375,375
141,leisure,375,495,120
141,shop,495,570,75
141,home,570,810,240
141,shop,810,915,105
141,home,915,1440,525
142,home,0,405,405
142,shop,405,495,90
142,home,495,630,135
142,leisure,630,825,195
142,home,825,1440,615
143,home,0,390,390
143,shop,390,540,150
143,leisure,540,1020,480
143,home,1020,1440,420
144,home,0,375,375
144,work,375,1140,765
144,home,1140,1440,300
145,home,0,375,375
145,shop,375,450,75
145,leisure,450,990,540
145,home,990,1440,450
146,home,0,375,375
146,work,375,780,405
146,shop,780,840,60
146,work,840,1125,285
146,leisure,1125,1140,15
146,work,1140,1170,30
146,home,1170,1440,270
147,home,0,375,375
147,work,375,795,420
147,shop,795,840,45
147,home,840,1440,600
148,home,0,390,390
148,work,390,1125,735
148,home,1125,1440,315
149,home,0,420,420
149,shop,420,465,45
149,leisure,465,810,345
149,shop,810,915,105
149,home,915,1440,525
150,home,0,405,405
150,shop,405,465,60
150,leisure,465,990,525
150,home,990,1440,450
151,home,0,405,405
151,shop,405,480,75
151,leisure,480,975,495
151,home,975,1440,465
152,home,0,375,375
152,leisure,375,465,90
152,shop,465,570,105
152,home,570,1440,870
153,home,0,375,375
153,shop,375,465,90
153,leisure,465,975,510
153,home,975,1440,465
154,home,0,405,405
154,work,405,855,450
154,shop,855,930,75
154,home,930,1440,510
155,home,0,435,435
155,shop,435,525,90
155,leisure,525,705,180
155,shop,705,900,195
155,home,900,1440,540
156,home,0,405,405
156,shop,405,480,75
156,leisure,480,1020,540
156,home,1020,1440,420
157,home,0,375,375
157,work,375,975,600
157,shop,975,990,15
157,home,990,1440,450
158,home,0,405,405
158,leisure,405,495,90
158,shop,495,705,210
158,leisure,705,990,285
158,home,990,1440,450
159,home,0,375,375
159,leisure,375,525,150
159,shop,525,600,75
159,home,600,1440,840
160,home,0,375,375
160,work,375,1185,810
160,home,1185,1440,255
161,home,0,375,375
161,work,375,1125,750
161,home,1125,1440,315
162,home,0,375,375
162,work,375,1125,750
162,home,1125,1440,315
163,home,0,375,375
163,work,375,1125,750
163,home,1125,1440,315
164,home,0,375,375
164,leisure,375,450,75
164,shop,450,510,60
164,home,510,690,180
164,leisure,690,990,300
164,home,990,1440,450
165,home,0,375,375
165,work,375,1095,720
165,home,1095,1440,345
166,home,0,375,375
166,shop,375,465,90
166,leisure,465,1005,540
166,home,1005,1440,435
167,home,0,390,390
167,shop,390,450,60
167,leisure,450,975,525
167,home,975,1440,465
168,home,0,405,405
168,shop,405,510,105
168,leisure,510,1020,510
168,home,1020,1440,420
169,home,0,375,375
169,shop,375,390,15
169,work,390,1125,735
169,home,1125,1440,315
170,home,0,420,420
170,leisure,420,555,135
170,shop,555,960,405
170,home,960,1440,480
171,home,0,390,390
171,shop,390,450,60
171,leisure,450,975,525
171,home,975,1440,465
172,home,0,405,405
172,leisure,405,495,90
172,shop,495,570,75
172,home,570,1440,870
173,home,0,375,375
173,leisure,375,420,45
173,shop,420,540,120
173,leisure,540,1005,465
173,home,1005,1440,435
174,home,0,390,390
174,leisure,390,465,75
174,shop,465,525,60
174,home,525,930,405
174,shop,930,960,30
174,home,960,1440,480
175,home,0,405,405
175,shop,405,480,75
175,leisure,480,990,510
175,home,990,1440,450
176,home,0,405,405
176,shop,405,525,120
176,leisure,525,1020,495
176,home,1020,1440,420
177,home,0,420,420
177,leisure,420,525,105
177,shop,525,825,300
177,home,825,1440,615
178,home,0,480,480
178,leisure,480,540,60
178,shop,540,660,120
178,leisure,660,1020,360
178,home,1020,1440,420
179,home,0,375,375
179,work,375,795,420
179,shop,795,855,60
179,work,855,1065,210
179,leisure,1065,1095,30
179,work,1095,1155,60
179,leisure,1155,1170,15
179,work,1170,1200,30
179,home,1200,1440,240
180,home,0,375,375
180,leisure,375,450,75
180,shop,450,585,135
180,home,585,1440,855
181,home,0,405,405
181,shop,405,495,90
181,leisure,495,990,495
181,home,990,1440,450
182,home,0,375,375
182,work,375,1065,690
182,home,1065,1440,375
183,home,0,375,375
183,leisure,375,450,75
183,shop,450,585,135
183,home,585,1440,855
184,home,0,375,375
184,shop,375,435,60
184,leisure,435,1005,570
184,home,1005,1440,435
185,home,0,405,405
185,shop,405,480,75
185,leisure,480,1005,525
185,home,1005,1440,435
186,home,0,375,375
186,work,375,1155,780
186,home,1155,1440,285
187,home,0,390,390
187,shop,390,495,105
187,leisure,495,990,495
187,home,990,1440,450
188,home,0,375,375
188,shop,375,480,105
188,home,480,525,45
188,leisure,525,765,240
188,home,765,1440,675
189,home,0,390,390
189,shop,390,450,60
189,leisure,450,990,540
189,home,990,1440,450
190,home,0,390,390
190,work,390,795,405
190,shop,795,810,15
190,work,810,1035,225
190,leisure,1035,1050,15
190,work,1050,1065,15
190,shop,1065,1080,15
190,home,1080,1440,360
191,home,0,375,375
191,work,375,795,420
191,shop,795,915,120
191,home,915,1440,525
192,home,0,390,390
192,work,390,1110,720
192,home,1110,1440,330
193,home,0,420,420
193,shop,420,510,90
193,leisure,510,1005,495
193,home,1005,1440,435
194,home,0,375,375
194,shop,375,435,60
194,leisure,435,705,270
194,shop,705,960,255
194,home,960,1440,480
195,home,0,375,375
195,shop,375,450,75
195,leisure,450,990,540
195,home,990,1440,450
196,home,0,390,390
196,work,390,1155,765
196,home,1155,1440,285
197,home,0,420,420
197,shop,420,480,60
197,leisure,480,990,510
197,home,990,1440,450
198,home,0,375,375
198,shop,375,465,90
198,leisure,465,975,510
198,home,975,1440,465
199,home,0,375,375
199,work,375,1065,690
199,home,1065,1440,375
200,home,0,390,390
200,leisure,390,570,180
200,shop,570,855,285
200,home,855,1440,585
201,home,0,375,375
201,work,375,1155,780
201,home,1155,1440,285
202,home,0,375,375
202,shop,375,450,75
202,leisure,450,1005,555
202,home,1005,1440,435
203,home,0,375,375
203,work,375,780,405
203,shop,780,795,15
203,work,795,1095,300
203,leisure,1095,1110,15
203,work,1110,1125,15
203,leisure,1125,1140,15
203,work,1140,1155,15
203,leisure,1155,1170,15
203,home,1170,1440,270
204,home,0,375,375
204,work,375,1095,720
204,education,1095,1110,15
204,home,1110,1440,330
205,home,0,390,390
205,shop,390,465,75
205,leisure,465,990,525
205,home,990,1440,450
206,home,0,390,390
206,shop,390,630,240
206,home,630,660,30
206,leisure,660,735,75
206,home,735,1440,705
207,home,0,375,375
207,work,375,1080,705
207,home,1080,1440,360
208,home,0,375,375
208,work,375,795,420
208,shop,795,810,15
208,home,810,1440,630
209,home,0,390,390
209,shop,390,450,60
209,leisure,450,1035,585
209,home,1035,1440,405
210,home,0,375,375
210,work,375,1140,765
210,home,1140,1440,300
211,home,0,390,390
211,shop,390,465,75
211,leisure,465,975,510
211,home,975,1440,465
212,home,0,390,390
212,shop,390,450,60
212,leisure,450,585,135
212,shop,585,645,60
212,home,645,1440,795
213,home,0,405,405
213,shop,405,495,90
213,leisure,495,975,480
213,home,975,1440,465
214,home,0,390,390
214,work,390,1140,750
214,home,1140,1440,300
215,home,0,405,405
215,work,405,825,420
215,shop,825,870,45
215,home,870,1440,570
216,home,0,435,435
216,leisure,435,660,225
216,shop,660,750,90
216,home,750,1440,690
217,home,0,375,375
217,work,375,795,420
217,shop,795,825,30
217,work,825,945,120
217,shop,945,960,15
217,home,960,1440,480
218,home,0,390,390
218,leisure,390,465,75
218,shop,465,690,225
218,home,690,870,180
218,shop,870,930,60
218,home,930,1440,510
219,home,0,375,375
219,work,375,795,420
219,shop,795,885,90
219,work,885,1170,285
219,leisure,1170,1185,15
219,work,1185,1200,15
219,home,1200,1440,240
220,home,0,390,390
220,shop,390,450,60
220,leisure,450,1035,585
220,home,1035,1440,405
221,home,0,375,375
221,work,375,750,375
221,shop,750,765,15
221,work,765,1050,285
221,leisure,1050,1095,45
221,work,1095,1155,60
221,leisure,1155,1170,15
221,home,1170,1440,270
222,home,0,390,390
222,shop,390,540,150
222,leisure,540,975,435
222,home,975,1440,465
223,home,0,375,375
223,shop,375,480,105
223,leisure,480,975,495
223,home,975,1440,465
224,home,0,405,405
224,shop,405,480,75
224,home,480,645,165
224,leisure,645,975,330
224,home,975,1440,465
225,home,0,375,375
225,leisure,375,645,270
225,shop,645,795,150
225,home,795,1440,645
226,home,0,375,375
226,shop,375,450,75
226,home,450,600,150
226,leisure,600,750,150
226,home,750,1440,690
227,home,0,390,390
227,shop,390,465,75
227,leisure,465,1005,540
227,home,1005,1440,435
228,home,0,375,375
228,work,375,765,390
228,shop,765,810,45
228,work,810,1125,315
228,leisure,1125,1140,15
228,work,1140,1170,30
228,home,1170,1440,270
229,home,0,390,390
229,work,390,795,405
229,shop,795,810,15
229,work,810,1005,195
229,leisure,1005,1020,15
229,work,1020,1035,15
229,leisure,1035,1065,30
229,work,1065,1080,15
229,shop,1080,1095,15
229,home,1095,1440,345
230,home,0,375,375
230,work,375,1110,735
230,home,1110,1440,330
231,home,0,405,405
231,leisure,405,465,60
231,shop,465,615,150
231,home,615,660,45
231,leisure,660,825,165
231,home,825,1440,615
232,home,0,375,375
232,shop,375,480,105
232,leisure,480,1005,525
232,home,1005,1440,435
233,home,0,390,390
233,shop,390,495,105
233,leisure,495,990,495
233,home,990,1440,450
234,home,0,375,375
234,work,375,795,420
234,shop,795,825,30
234,work,825,1140,315
234,leisure,1140,1155,15
234,work,1155,1200,45
234,home,1200,1440,240
235,home,0,375,375
235,work,375,1155,780
235,home,1155,1440,285
236,home,0,390,390
236,shop,390,495,105
236,leisure,495,990,495
236,home,990,1440,450
237,home,0,405,405
237,shop,405,465,60
237,leisure,465,1020,555
237,home,1020,1440,420
238,home,0,375,375
238,work,375,1050,675
238,education,1050,1080,30
238,home,1080,1440,360
239,home,0,390,390
239,leisure,390,480,90
239,shop,480,630,150
239,home,630,660,30
239,leisure,660,795,135
239,home,795,1440,645
240,home,0,375,375
240,shop,375,435,60
240,leisure,435,1005,570
240,home,1005,1440,435
241,home,0,375,375
241,leisure,375,480,105
241,shop,480,555,75
241,home,555,1440,885
242,home,0,390,390
242,shop,390,450,60
242,leisure,450,1020,570
242,home,1020,1440,420
243,home,0,375,375
243,leisure,375,585,210
243,shop,585,705,120
243,home,705,1440,735
244,home,0,390,390
244,work,390,810,420
244,shop,810,885,75
244,home,885,1440,555
245,home,0,405,405
245,shop,405,465,60
245,leisure,465,990,525
245,home,990,1440,450
246,home,0,390,390
246,work,390,810,420
246,shop,810,870,60
246,home,870,1440,570
247,home,0,375,375
247,work,375,795,420
247,shop,795,825,30
247,work,825,915,90
247,shop,915,960,45
247,home,960,1440,480
248,home,0,375,375
248,work,375,1080,705
248,home,1080,1440,360
249,home,0,375,375
249,leisure,375,630,255
249,shop,630,960,330
249,home,960,1440,480
250,home,0,375,375
250,work,375,1140,765
250,home,1140,1440,300
251,home,0,375,375
251,work,375,1155,780
251,home,1155,1440,285
252,home,0,435,435
252,leisure,435,495,60
252,shop,495,675,180
252,home,675,720,45
252,leisure,720,765,45
252,home,765,1440,675
253,home,0,375,375
253,shop,375,435,60
253,leisure,435,1005,570
253,home,1005,1440,435
254,home,0,375,375
254,work,375,1185,810
254,home,1185,1440,255
255,home,0,375,375
255,work,375,1080,705
255,home,1080,1440,360
256,home,0,375,375
256,shop,375,435,60
256,leisure,435,975,540
256,home,975,1440,465
257,home,0,390,390
257,shop,390,405,15
257,home,405,540,135
257,leisure,540,690,150
257,shop,690,735,45
257,home,735,885,150
257,shop,885,945,60
257,home,945,1440,495
258,home,0,375,375
258,shop,375,480,105
258,leisure,480,990,510
258,home,990,1440,450
259,home,0,405,405
259,shop,405,465,60
259,leisure,465,540,75
259,shop,540,855,315
259,home,855,1440,585
260,home,0,405,405
260,shop,405,465,60
260,leisure,465,1020,555
260,home,1020,1440,420
261,home,0,405,405
261,shop,405,465,60
261,leisure,465,975,510
261,home,975,1440,465
262,home,0,390,390
262,work,390,1140,750
262,home,1140,1440,300
263,home,0,375,375
263,shop,375,450,75
263,leisure,450,990,540
263,home,990,1440,450
264,home,0,375,375
264,work,375,765,390
264,shop,765,795,30
264,work,795,1110,315
264,shop,1110,1125,15
264,home,1125,1440,315
265,home,0,375,375
265,shop,375,465,90
265,leisure,465,1005,540
265,home,1005,1440,435
266,home,0,390,390
266,leisure,390,525,135
266,shop,525,780,255
266,home,780,1440,660
267,home,0,375,375
267,leisure,375,555,180
267,shop,555,765,210
267,home,765,1440,675
268,home,0,390,390
268,work,390,1080,690
268,home,1080,1440,360
269,home,0,375,375
269,work,375,1185,810
269,home,1185,1440,255
270,home,0,375,375
270,shop,375,435,60
270,leisure,435,1020,585
270,home,1020,1440,420
271,home,0,390,390
271,work,390,1095,705
271,education,1095,1110,15
271,home,1110,1440,330
272,home,0,375,375
272,work,375,1080,705
272,leisure,1080,1140,60
272,home,1140,1440,300
273,home,0,420,420
273,shop,420,480,60
273,leisure,480,990,510
273,home,990,1440,450
274,home,0,390,390
274,shop,390,435,45
274,leisure,435,585,150
274,shop,585,720,135
274,home,720,1440,720
275,home,0,375,375
275,shop,375,480,105
275,leisure,480,975,495
275,home,975,1440,465
276,home,0,375,375
276,work,375,780,405
276,shop,780,810,30
276,work,810,1140,330
276,leisure,1140,1155,15
276,home,1155,1440,285
277,home,0,390,390
277,shop,390,450,60
277,leisure,450,1020,570
277,home,1020,1440,420
278,home,0,375,375
278,work,375,1155,780
278,home,1155,1440,285
279,home,0,390,390
279,shop,390,465,75
279,leisure,465,990,525
279,home,990,1440,450
280,home,0,405,405
280,shop,405,495,90
280,leisure,495,780,285
280,home,780,975,195
280,shop,975,990,15
280,home,990,1440,450
281,home,0,375,375
281,work,375,780,405
281,shop,780,810,30
281,work,810,1155,345
281,leisure,1155,1185,30
281,work,1185,1200,15
281,leisure,1200,1215,15
281,work,1215,1230,15
281,leisure,1230,1245,15
281,work,1245,1260,15
281,leisure,1260,1275,15
281,work,1275,1290,15
281,home,1290,1440,150
282,home,0,390,390
282,shop,390,480,90
282,leisure,480,990,510
282,home,990,1440,450
283,home,0,375,375
283,leisure,375,480,105
283,shop,480,705,225
283,home,705,720,15
283,leisure,720,780,60
283,home,780,1440,660
284,home,0,375,375
284,leisure,375,450,75
284,shop,450,795,345
284,home,795,1440,645
285,home,0,375,375
285,shop,375,435,60
285,leisure,435,990,555
285,home,990,1440,450
286,home,0,375,375
286,shop,375,495,120
286,leisure,495,975,480
286,home,975,1440,465
287,home,0,375,375
287,shop,375,435,60
