pid,gender,age,employment
145,F,70,NEET
146,F,33,PTW
147,F,38,PTW
148,M,24,FTW
149,M,51,NEET
150,F,45,FTE
151,M,39,NEET
152,F,71,FTE
153,M,89,NEET
154,F,48,PTW
155,M,71,NEET
156,F,11,FTE
157,M,70,FTW
158,M,8,FTE
159,M,84,NEET
160,M,37,FTW
161,M,71,FTW
162,M,33,FTW
163,M,26,FTW
164,M,70,NEET
165,M,73,FTW
166,M,69,NEET
167,M,66,NEET
168,F,16,FTE
169,M,27,FTW
170,F,10,FTE
171,M,18,FTE
172,M,11,FTE
173,F,84,NEET
174,F,44,NEET
175,F,10,FTE
176,M,22,NEET
177,F,5,FTE
178,F,84,NEET
179,F,22,PTW
180,M,28,NEET
181,M,38,NEET
182,M,43,FTW
183,F,46,NEET
184,M,63,NEET
185,M,18,FTE
186,M,37,FTW
187,M,88,NEET
188,F,80,NEET
189,F,88,NEET
190,F,21,PTW
191,F,24,PTW
192,M,56,FTW
193,M,31,NEET
194,M,87,NEET
195,M,14,FTE
196,M,19,FTW
197,M,15,FTE
198,M,47,NEET
199,M,26,FTW
200,F,97,NEET
201,M,56,FTW
202,M,5,FTE
203,F,72,PTW
204,M,69,FTW
205,M,56,NEET
206,M,33,NEET
207,M,26,FTW
208,F,37,PTW
209,F,16,FTE
210,M,49,FTW
211,M,84,NEET
212,F,17,FTE
213,M,81,NEET
214,F,59,FTW
215,F,24,PTW
216,F,87,NEET
217,F,60,PTW
218,M,75,NEET
219,F,48,PTW
220,F,7,FTE
221,F,29,PTW
222,M,77,NEET
223,M,5,FTE
224,M,75,NEET
225,F,70,NEET
226,M,78,NEET
227,M,85,NEET
228,F,27,PTW
229,F,60,PTW
230,F,58,FTW
231,M,81,NEET
232,M,76,NEET
233,M,77,NEET
234,F,32,PTW
235,M,67,FTW
236,M,68,NEET
237,F,74,NEET
238,F,50,FTW
239,M,37,NEET
240,M,62,NEET
241,M,49,NEET
242,F,59,NEET
243,M,68,NEET
244,F,27,PTW
245,F,14,FTE
246,F,28,PTW
247,F,41,PTW
248,M,46,FTW
249,M,63,NEET
250,F,75,FTW
251,M,70,FTW
252,M,76,NEET
253,M,63,NEET
254,M,60,FTW
255,M,51,FTW
256,M,28,NEET
257,M,90,NEET
258,M,77,NEET
259,F,69,NEET
260,M,6,FTE
261,F,7,FTE
262,F,44,FTW
263,M,14,FTE
264,F,31,PTW
265,M,73,NEET
266,M,71,NEET
267,M,11,FTE
268,M,64,FTW
269,M,19,FTW
270,M,20,FTE
271,M,70,FTW
272,M,45,FTW
273,M,11,FTE
274,F,20,FTE
275,F,100,NEET
276,F,65,PTW
277,M,91,NEET
278,M,43,FTW
279,F,87,NEET
280,F,97,NEET
281,F,37,PTW
282,M,83,NEET
283,F,65,NEET
284,M,79,NEET
285,M,6,FTE
286,F,71,NEET
287,F,17,FTE
288,M,82,NEET
289,F,95,NEET
290,F,100,NEET
291,F,52,PTW
292,F,48,FTE
293,F,54,FTE
294,F,53,PTW
295,M,91,NEET
296,F,19,FTE
297,F,92,NEET
298,F,49,NEET
299,F,47,PTW
300,M,30,FTW
301,F,13,FTE
302,M,12,FTE
303,F,16,FTE
304,M,90,NEET
305,M,34,FTW
306,M,93,NEET
307,M,48,FTW
308,M,61,NEET
309,M,97,NEET
310,F,33,PTW
311,M,50,NEET
312,M,56,FTW
313,F,85,NEET
314,M,46,FTW
315,M,60,NEET
316,F,42,PTW
317,F,71,FTE
318,M,10,FTE
319,M,30,FTW
320,M,56,FTW
321,F,98,NEET
322,F,21,PTW
323,F,88,NEET
324,F,45,NEET
325,F,39,PTW
326,M,49,FTW
327,F,35,FTW
328,F,8,FTE
329,F,81,NEET
330,M,20,FTE
331,M,72,NEET
332,M,97,NEET
333,M,73,NEET
334,F,31,PTW
335,M,46,FTW
336,M,73,NEET
337,M,45,FTW
338,M,59,NEET
339,M,5,FTE
340,M,63,FTW
341,F,61,NEET
342,F,46,FTW
343,M,32,FTW
344,F,47,PTW
345,M,89,NEET
346,F,66,PTW
347,F,68,NEET
348,M,42,FTW
349,F,87,NEET
350,F,8,FTE
351,F,41,PTW
352,M,70,NEET
353,M,35,NEET
354,M,33,FTW
355,F,91,NEET
356,F,27,PTW
357,M,83,NEET
358,F,20,NEET
359,F,24,FTW
360,F,88,NEET
361,M,80,NEET
362,M,80,NEET
363,M,98,NEET
364,F,28,PTW
365,M,20,FTE
366,F,18,FTE
367,M,53,NEET
368,M,11,FTE
369,M,7,FTE
370,F,46,FTE
371,M,62,NEET
372,M,59,NEET
373,M,53,FTW
374,F,50,FTW
375,M,76,NEET
376,M,56,FTW
377,M,92,NEET
378,M,7,FTE
379,F,11,FTE
380,F,93,NEET
381,F,54,PTW
382,M,27,NEET
383,F,70,PTW
384,F,88,NEET
385,F,13,FTE
386,M,37,FTW
387,M,72,NEET
388,F,96,NEET
389,F,87,NEET
390,M,27,FTW
391,F,12,FTE
392,F,25,PTW
393,F,85,NEET
394,M,97,NEET
395,M,41,NEET
396,F,59,NEET
397,M,26,FTW
398,M,25,FTW
399,F,65,PTW
400,F,75,NEET
401,M,65,NEET
402,F,16,FTE
403,F,56,PTW
404,F,44,PTW
405,M,79,NEET
406,M,66,NEET
407,M,14,FTE
408,F,32,PTW
409,M,63,NEET
410,F,62,NEET
411,M,71,NEET
412,F,9,FTE
413,M,27,FTW
414,M,66,FTW
415,M,48,FTW
416,F,50,PTW
417,F,79,NEET
418,F,98,NEET
419,F,86,NEET
420,M,91,NEET
421,M,44,NEET
422,M,90,NEET
423,M,14,FTE
424,F,7,FTE
425,F,39,FTW
426,M,34,FTW
427,F,15,FTE
428,F,66,NEET
429,F,31,NEET
430,F,14,FTE
431,M,47,FTW
432,F,88,NEET
433,F,41,NEET
434,F,74,NEET
435,M,38,FTW
436,F,92,NEET
437,F,62,NEET
438,M,94,NEET
439,M,20,FTW
440,M,20,FTW
441,F,12,FTE
442,F,72,NEET
443,F,69,FTW
444,M,60,NEET
445,M,9,FTE
446,M,37,FTW
447,M,25,FTW
448,M,17,FTE
449,F,70,PTW
450,M,18,FTW
451,M,61,NEET
452,M,7,FTE
453,M,63,FTW
454,F,78,NEET
455,M,73,NEET
456,M,50,FTW
457,F,29,PTW
458,M,98,NEET
459,F,22,PTW
460,M,99,NEET
461,M,77,NEET
462,F,27,FTW
463,M,73,FTW
464,M,37,NEET
465,F,38,PTW
466,M,13,FTE
467,M,52,FTW
468,F,49,NEET
469,M,31,NEET
470,F,85,NEET
471,M,98,NEET
472,M,54,FTW
473,M,92,NEET
474,M,25,FTW
475,F,29,PTW
476,M,99,NEET
477,M,80,NEET
478,F,6,FTE
479,F,86,NEET
480,M,56,NEET
481,M,50,FTW
482,F,34,PTW
483,F,95,NEET
484,M,88,NEET
485,M,13,FTE
486,F,59,PTW
487,M,52,FTW
488,F,30,PTW
489,M,45,FTW
490,F,14,FTE
491,M,15,FTE
492,F,30,FTW
493,F,84,NEET
494,M,38,NEET
495,M,61,NEET
496,F,39,NEET
497,F,21,PTW
498,F,45,FTW
499,M,70,FTW
500,M,55,NEET
501,F,53,PTW
502,M,6,FTE
503,F,15,FTE
504,F,5,FTE
505,M,78,NEET
506,F,88,NEET
507,M,42,FTW
508,F,90,NEET
509,F,82,NEET
510,F,59,PTW
511,F,94,NEET
512,M,34,FTW
513,M,44,NEET
514,F,55,FTE
515,F,38,PTW
516,M,9,FTE
517,F,69,PTW
518,M,34,NEET
519,M,47,NEET
520,M,5,FTE
521,M,63,NEET
522,M,12,FTE
523,M,23,NEET
524,M,71,NEET
525,M,58,NEET
526,F,26,FTW
527,M,33,FTW
528,M,6,FTE
529,M,62,NEET
530,F,44,PTW
531,M,44,FTW
532,M,53,NEET
533,M,74,FTW
534,M,56,NEET
535,F,53,NEET
536,M,10,FTE
537,F,39,PTW
538,F,43,PTW
539,M,51,NEET
540,F,32,PTW
541,F,36,PTW
542,M,94,NEET
543,M,78,NEET
544,M,21,FTW
545,F,34,PTW
546,M,38,FTW
547,M,51,NEET
548,M,85,NEET
549,F,18,FTE
550,F,64,PTW
551,F,77,NEET
552,F,32,PTW
553,M,99,NEET
554,F,69,NEET
555,F,64,PTW
556,M,54,NEET
557,M,83,NEET
558,F,71,NEET
559,M,41,NEET
560,F,64,NEET
561,M,12,FTE
562,M,13,FTE
563,M,8,FTE
564,F,99,NEET
565,M,39,NEET
566,F,92,NEET
567,M,13,FTE
568,F,5,FTE
569,M,25,FTW
570,M,13,FTE
571,M,76,NEET
572,F,40,NEET
573,F,88,NEET
574,M,91,NEET
575,M,10,FTE
576,F,7,FTE
577,F,43,PTW
578,M,71,NEET
579,F,77,NEET
580,M,84,NEET
581,M,95,NEET
582,F,98,NEET
583,M,34,FTW
584,F,62,FTW
585,M,47,FTW
586,F,7,FTE
587,M,93,NEET
588,F,89,NEET
589,F,81,NEET
590,M,39,FTW
591,M,27,FTW
592,M,64,FTW
593,M,54,FTW
594,F,28,PTW
595,M,55,NEET
596,M,97,NEET
597,M,12,FTE
598,F,95,NEET
599,F,35,PTW
600,F,47,PTW
601,F,85,NEET
602,F,36,PTW
603,M,19,FTE
604,F,30,NEET
605,M,58,NEET
606,F,23,PTW
607,M,10,FTE
608,M,9,FTE
609,F,85,NEET
610,M,83,NEET
611,M,14,FTE
612,F,73,NEET
613,F,46,PTW
614,M,35,NEET
615,F,54,NEET
616,M,100,NEET
617,M,46,NEET
618,M,28,FTW
619,F,31,FTW
620,F,26,PTW
621,F,89,NEET
622,F,28,PTW
623,F,97,NEET
624,M,41,NEET
625,F,79,NEET
626,M,89,NEET
627,M,16,FTE
628,M,28,NEET
629,F,13,FTE
630,M,54,NEET
631,F,51,PTW
632,F,50,NEET
633,F,19,PTW
634,M,68,NEET
635,M,62,NEET
636,M,20,FTW
637,F,89,NEET
638,M,15,FTE
639,F,82,NEET
640,M,5,FTE
641,M,85,NEET
642,F,11,FTE
643,F,32,PTW
644,M,31,FTW
645,F,37,PTW
646,M,93,NEET
647,M,25,FTW
648,F,57,NEET
649,M,83,NEET
650,F,82,NEET
651,F,85,NEET
652,M,12,FTE
653,M,93,NEET
654,M,34,FTW
655,M,17,FTE
656,M,76,NEET
657,F,57,FTW
658,F,50,PTW
659,M,87,NEET
660,M,35,FTW
661,F,100,NEET
662,M,22,FTW
663,F,95,NEET
664,F,14,FTE
665,M,9,FTE
666,M,46,FTW
667,F,52,PTW
668,M,13,FTE
669,M,12,FTE
670,M,81,NEET
671,F,7,FTE
672,M,54,NEET
673,M,30,FTW
674,F,6,FTE
675,F,50,NEET
676,F,63,PTW
677,M,100,NEET
678,F,71,NEET
679,F,42,NEET
680,F,41,PTW
681,M,7,FTE
682,M,17,FTE
683,F,8,FTE
684,M,32,NEET
685,M,29,FTW
686,M,75,NEET
687,F,87,NEET
688,M,89,NEET
689,F,6,FTE
690,F,56,NEET
691,F,19,FTE
692,M,17,FTE
693,M,9,FTE
694,F,76,NEET
695,M,44,FTW
696,M,65,NEET
697,F,89,NEET
698,F,36,FTW
699,F,8,FTE
700,F,80,NEET
701,M,80,NEET
702,F,83,NEET
703,F,83,NEET
704,M,16,FTE
705,M,10,FTE
706,M,82,NEET
707,F,60,PTW
708,M,54,FTW
709,F,11,FTE
710,M,9,FTE
711,M,5,FTE
712,F,84,NEET
713,F,32,PTW
714,M,26,FTW
715,F,64,NEET
716,F,61,PTW
717,F,98,NEET
718,M,36,FTW
719,F,11,FTE
720,F,86,NEET
721,F,26,PTW
722,M,51,FTW
723,M,56,NEET
724,M,88,NEET
725,F,7,FTE
726,M,11,FTE
727,M,99,NEET
728,F,33,PTW
729,M,73,NEET
730,F,58,PTW
731,F,98,NEET
732,M,17,FTE
733,F,70,NEET
734,M,39,FTW
735,F,55,PTW
736,M,51,FTW
737,M,91,NEET
738,M,52,FTW
739,M,19,PTW
740,F,72,PTW
741,M,11,FTE
742,M,88,NEET
743,M,21,FTW
744,F,88,NEET
745,F,82,NEET
746,M,67,FTW
747,F,74,NEET
748,F,48,NEET
749,F,75,PTW
750,M,24,FTW
751,M,72,FTW
752,M,39,FTW
753,F,28,PTW
754,F,28,PTW
755,F,16,FTE
756,M,96,NEET
757,M,25,FTW
758,M,57,FTW
759,M,94,NEET
760,F,78,NEET
761,F,76,NEET
762,F,94,NEET
763,F,62,NEET
764,M,26,FTW
765,M,18,FTE
766,F,23,NEET
767,M,82,NEET
768,M,18,FTE
769,M,18,NEET
770,M,13,FTE
771,F,90,NEET
772,M,11,FTE
773,F,77,NEET
774,F,49,PTW
775,F,35,PTW
776,M,13,FTE
777,F,77,NEET
778,F,17,FTE
779,F,8,FTE
780,F,5,FTE
781,F,9,FTE
782,F,97,NEET
783,M,68,NEET
784,F,77,NEET
785,M,6,FTE
786,F,63,FTW
787,M,62,FTW
788,M,64,NEET
789,M,49,NEET
790,M,45,NEET
791,F,71,PTW
792,F,54,NEET
793,M,59,FTW
794,M,91,NEET
795,M,59,NEET
796,F,11,FTE
797,F,12,FTE
798,M,20,PTW
799,F,40,NEET
800,F,78,NEET
801,F,71,NEET
802,M,26,FTW
803,F,21,PTW
804,M,23,NEET
805,F,61,NEET
806,M,16,FTE
807,F,80,NEET
808,M,44,FTW
809,M,78,NEET
810,M,62,FTW
811,M,85,NEET
812,M,97,NEET
813,M,31,FTW
814,F,67,PTW
815,F,57,FTW
816,F,64,NEET
817,M,63,NEET
818,M,28,NEET
819,M,23,FTW
820,M,54,NEET
821,M,63,FTW
822,M,15,FTE
823,F,75,FTE
824,F,39,PTW
825,M,77,NEET
826,M,23,FTW
827,F,79,NEET
828,M,91,NEET
829,M,49,FTW
830,M,52,FTW
831,F,41,NEET
832,M,66,NEET
833,M,31,NEET
834,M,22,NEET
835,M,53,NEET
836,M,12,FTE
837,M,58,FTW
838,F,63,NEET
839,F,67,NEET
840,M,8,FTE
841,F,34,NEET
842,F,11,FTE
843,M,20,FTE
844,M,13,FTE
845,F,16,FTE
846,F,21,PTW
847,F,60,NEET
848,F,20,FTE
849,M,56,NEET
850,F,51,FTW
851,F,7,FTE
852,M,69,NEET
853,F,96,NEET
854,M,18,NEET
855,F,14,FTE
856,M,89,NEET
857,M,41,NEET
858,M,85,NEET
859,M,15,FTE
860,F,74,NEET
861,M,25,NEET
862,F,72,FTW
863,F,24,FTW
864,M,68,NEET
865,F,98,NEET
866,M,29,FTW
867,M,54,FTW
868,M,32,FTW
869,M,29,NEET
870,F,98,NEET
871,F,84,NEET
872,F,64,FTW
873,M,44,NEET
874,F,19,NEET
875,F,96,NEET
876,M,23,FTW
877,M,51,FTW
878,F,33,NEET
879,M,57,FTW
880,M,23,NEET
881,M,46,FTW
882,F,96,NEET
883,M,19,FTE
884,M,9,FTE
885,F,80,NEET
886,F,94,NEET
887,F,88,NEET
888,M,46,FTW
889,M,27,NEET
890,F,24,PTW
891,F,59,FTW
892,M,38,FTW
893,M,34,FTW
894,F,14,FTE
895,M,30,FTW
896,F,69,NEET
897,F,8,FTE
898,F,28,PTW
899,F,40,NEET
900,M,33,NEET
901,M,13,FTE
902,F,6,FTE
903,M,78,NEET
904,F,23,PTW
905,M,39,NEET
906,M,68,FTW
907,F,72,NEET
908,F,27,PTW
909,F,76,NEET
910,M,17,FTE
911,F,96,NEET
912,M,64,FTW
913,M,81,NEET
914,M,91,NEET
915,M,90,NEET
916,M,32,FTW
917,M,31,NEET
918,F,59,PTW
919,F,52,PTW
920,F,64,FTE
921,M,33,NEET
922,F,56,NEET
923,M,51,FTW
924,F,9,FTE
925,M,71,NEET
926,M,97,NEET
927,M,91,NEET
928,F,22,PTW
929,F,63,NEET
930,F,24,PTW
931,M,100,NEET
932,F,11,FTE
933,M,69,NEET
934,M,97,NEET
935,F,63,NEET
936,F,32,PTW
937,M,71,NEET
938,F,8,FTE
939,M,71,FTW
940,F,23,FTW
941,F,87,NEET
942,M,36,FTW
943,F,94,NEET
944,M,96,NEET
945,M,11,FTE
946,F,67,PTW
947,M,94,NEET
948,F,93,NEET
949,M,48,NEET
950,F,18,FTE
951,F,34,PTW
952,F,74,FTW
953,M,21,FTW
954,F,36,PTW
955,M,35,NEET
956,F,53,NEET
957,F,91,NEET
958,M,99,NEET
959,M,78,NEET
960,F,32,FTW
961,M,56,NEET
962,F,99,NEET
963,F,25,PTW
964,M,98,NEET
965,M,5,FTE
966,F,83,NEET
967,F,48,NEET
968,M,40,NEET
969,M,26,FTW
970,F,83,NEET
971,F,9,FTE
972,F,13,FTE
973,F,29,PTW
974,M,76,NEET
975,M,8,FTE
976,F,53,PTW
977,F,24,FTW
978,M,7,FTE
979,M,19,FTW
980,M,40,FTW
981,F,75,NEET
982,F,95,NEET
983,F,78,NEET
984,F,69,NEET
985,M,57,FTW
986,M,98,NEET
987,M,25,FTW
988,M,45,FTW
989,M,31,FTW
990,F,22,PTW
991,M,14,FTE
992,M,36,NEET
993,M,7,FTE
994,M,87,NEET
995,M,56,FTW
996,M,51,FTW
997,F,18,PTW
998,F,17,FTE
999,F,83,NEET
